"Town","FIPS","Year","Grade","MeasureType","Variable","Value"
"Hartford","0900337070",2009,"1","Percent","Students absent 20 or more days",15
"Hartland","0900337140",2009,"1","Percent","Students absent 20 or more days",4.5
"Harwinton","0900537280",2009,"1","Percent","Students absent 20 or more days",3.5
"Hebron","0901337910",2009,"1","Percent","Students absent 20 or more days",3.2
"Kent","0900540290",2009,"1","Percent","Students absent 20 or more days",3.1
"Killingly","0901540500",2009,"1","Percent","Students absent 20 or more days",7.1
"Killingworth","0900740710",2009,"1","Percent","Students absent 20 or more days",3
"Lebanon","0901142390",2009,"1","Percent","Students absent 20 or more days",5.9
"Ledyard","0901142600",2009,"1","Percent","Students absent 20 or more days",4.9
"Lisbon","0901143230",2009,"1","Percent","Students absent 20 or more days",0
"Litchfield","0900543370",2009,"1","Percent","Students absent 20 or more days",5.1
"Lyme","0901144210",2009,"1","Percent","Students absent 20 or more days",11
"Madison","0900944560",2009,"1","Percent","Students absent 20 or more days",0.8
"Manchester","0900344700",2009,"1","Percent","Students absent 20 or more days",5.7
"Mansfield","0901344910",2009,"1","Percent","Students absent 20 or more days",2.3
"Marlborough","0900345820",2009,"1","Percent","Students absent 20 or more days",2.2
"Meriden","0900946520",2009,"1","Percent","Students absent 20 or more days",2.7
"Middlebury","0900946940",2009,"1","Percent","Students absent 20 or more days",4.8
"Middlefield","0900747080",2009,"1","Percent","Students absent 20 or more days",1.3
"Middletown","0900747360",2009,"1","Percent","Students absent 20 or more days",5.2
"Milford","0900947535",2009,"1","Percent","Students absent 20 or more days",2.2
"Monroe","0900148620",2009,"1","Percent","Students absent 20 or more days",1.8
"Montville","0901148900",2009,"1","Percent","Students absent 20 or more days",6.6
"Naugatuck","0900949950",2009,"1","Percent","Students absent 20 or more days",6.3
"New Britain","0900350440",2009,"1","Percent","Students absent 20 or more days",13
"New Canaan","0900150580",2009,"1","Percent","Students absent 20 or more days",3.3
"New Fairfield","0900150860",2009,"1","Percent","Students absent 20 or more days",3.6
"New Hartford","0900551350",2009,"1","Percent","Students absent 20 or more days",8
"New Haven","0900952070",2009,"1","Percent","Students absent 20 or more days",17.9
"New London","0901152350",2009,"1","Percent","Students absent 20 or more days",18.5
"New Milford","0900552630",2009,"1","Percent","Students absent 20 or more days",3.1
"Newington","0900352140",2009,"1","Percent","Students absent 20 or more days",2.3
"Newtown","0900152980",2009,"1","Percent","Students absent 20 or more days",3.7
"Norfolk","0900553470",2009,"1","Percent","Students absent 20 or more days",6.2
"North Branford","0900953890",2009,"1","Percent","Students absent 20 or more days",0
"North Canaan","0900554030",2009,"1","Percent","Students absent 20 or more days",7.1
"North Haven","0900954870",2009,"1","Percent","Students absent 20 or more days",3.3
"North Stonington","0901155500",2009,"1","Percent","Students absent 20 or more days",3.9
"Norwalk","0900156060",2009,"1","Percent","Students absent 20 or more days",5.4
"Norwich","0901156270",2009,"1","Percent","Students absent 20 or more days",7.6
"Old Lyme","0901157040",2009,"1","Percent","Students absent 20 or more days",11
"Old Saybrook","0900757320",2009,"1","Percent","Students absent 20 or more days",0
"Orange","0900957600",2009,"1","Percent","Students absent 20 or more days",1.6
"Oxford","0900958300",2009,"1","Percent","Students absent 20 or more days",7.3
"Plainfield","0901559980",2009,"1","Percent","Students absent 20 or more days",6.9
"Plainville","0900360120",2009,"1","Percent","Students absent 20 or more days",2.9
"Plymouth","0900560750",2009,"1","Percent","Students absent 20 or more days",4.5
"Pomfret","0901561030",2009,"1","Percent","Students absent 20 or more days",0
"Portland","0900761800",2009,"1","Percent","Students absent 20 or more days",2.6
"Preston","0901162150",2009,"1","Percent","Students absent 20 or more days",5.9
"Prospect","0900962290",2009,"1","Percent","Students absent 20 or more days",4.5
"Putnam","0901562710",2009,"1","Percent","Students absent 20 or more days",12.2
"Redding","0900163480",2009,"1","Percent","Students absent 20 or more days",3.3
"Ridgefield","0900163970",2009,"1","Percent","Students absent 20 or more days",8.2
"Rocky Hill","0900365370",2009,"1","Percent","Students absent 20 or more days",4.6
"Roxbury","0900565930",2009,"1","Percent","Students absent 20 or more days",7.1
"Salem","0901166210",2009,"1","Percent","Students absent 20 or more days",2.5
"Salisbury","0900566420",2009,"1","Percent","Students absent 20 or more days",5.4
"Scotland","0901567400",2009,"1","Percent","Students absent 20 or more days",0
"Seymour","0900967610",2009,"1","Percent","Students absent 20 or more days",2.2
"Sharon","0900567960",2009,"1","Percent","Students absent 20 or more days",0
"Shelton","0900168170",2009,"1","Percent","Students absent 20 or more days",5.7
"Sherman","0900168310",2009,"1","Percent","Students absent 20 or more days",8.6
"Simsbury","0900368940",2009,"1","Percent","Students absent 20 or more days",3.5
"Somers","0901369220",2009,"1","Percent","Students absent 20 or more days",1.8
"South Windsor","0900371390",2009,"1","Percent","Students absent 20 or more days",16
"Southbury","0900969640",2009,"1","Percent","Students absent 20 or more days",4.8
"Southington","0900370550",2009,"1","Percent","Students absent 20 or more days",3.1
"Sprague","0901171670",2009,"1","Percent","Students absent 20 or more days",2.6
"Stafford","0901372090",2009,"1","Percent","Students absent 20 or more days",8
"Stamford","0900173070",2009,"1","Percent","Students absent 20 or more days",7.6
"Sterling","0901573420",2009,"1","Percent","Students absent 20 or more days",7.1
"Stonington","0901173770",2009,"1","Percent","Students absent 20 or more days",6.7
"Stratford","0900174190",2009,"1","Percent","Students absent 20 or more days",6.1
"Suffield","0900374540",2009,"1","Percent","Students absent 20 or more days",2.1
"Thomaston","0900575730",2009,"1","Percent","Students absent 20 or more days",5.1
"Thompson","0901575870",2009,"1","Percent","Students absent 20 or more days",8.9
"Tolland","0901376290",2009,"1","Percent","Students absent 20 or more days",3
"Torrington","0900576570",2009,"1","Percent","Students absent 20 or more days",6.4
"Trumbull","0900177200",2009,"1","Percent","Students absent 20 or more days",13.1
"Union","0901377830",2009,"1","Percent","Students absent 20 or more days",0
"Vernon","0901378250",2009,"1","Percent","Students absent 20 or more days",4.3
"Voluntown","0901178600",2009,"1","Percent","Students absent 20 or more days",3.4
